,Substation,Address,Zip,Serving,Latitude,Longitude
1,Denny ,1250 Denny Way,98109,,47.619091,-122.331596
2,Broad Street ,319 6th Ave N,98109,"Lake Union, Magnolia, Queen Anne",47.62149,-122.34503
3,University ,3829 6th Ave NE,98105,,47.65472,-122.3225
4,North ,814 NE 75th St,98115,"Ravenna, Wedgwood, Bryant, View Ridge, Roosevelt, Hawthorne Hills",47.68351,-122.31946
5,East Pine ,1555 23rd Ave,98122,,47.61456,-122.30266
6,Viewland/Hoffman ,10515 Fremont Ave N,98133,,47.70571,-122.35007
7,Bothell ,3912 156th St SE,98012,,47.44522,-122.283171
8,Laurelhurst ,NE 41st Street,98105,,47.65842,-122.27843
9,Union Street ,1312 Western Avenue,98101,,47.60697,-122.33988
10,Shoreline ,2136 N. 163rd St,98133,Shoreline,47.74687,-122.3334
11,South ,3839 4th Ave. S,98134,,47.56852,-122.32907
12,Duwamish ,9600 W Marginal Pl South,98109,"Burien, Highland Park, Rox Hill, Unincorporated King County",47.51603,-122.31126
13,Delridge ,5601 23RD AVE SW,98106,"High Point, Admiral, Delridge, Genesee",47.55141,-122.36178
14,Delridge B,4900 18th Ave SW,98106,,47.55618,-122.35705
15,Creston-Nelson ,5300 S Bangor St,98178,,47.50608,-122.26634
16,Massachusetts ,1555 Utah Ave S,98134,,47.58864,-122.33518
17,Canal,614 NW 46th St,98107,,47.66233,-122.36482
